date,time,ticker,stream,side,qty,entry,exit,gross_pnl,commission,net_pnl,structure,status,notes
2026-06-04,082820,SNDK,Stream 1,LONG,1.0,1728.0,1736.5,8.5,-0.09506791875,8.40493208125,STK,CLOSED,LONG matched via FIFO (opened 2026-06-03)
2026-06-04,082820,SNDK,Stream 1,LONG,7.0,1724.5,1736.5,84.0,-0.59665488203125,83.40334511796875,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,082820,SNDK,Stream 1,LONG,2.0,1724.5,1736.5,24.0,-0.10257152500000001,23.897428475,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,082820,SNDK,Stream 1,LONG,10.0,1724.5,1736.5,120.0,-0.512857625,119.487142375,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,093255,SNDK,Stream 2,LONG,1.0,1724.5,1764.0,39.5,-0.06936512500000003,39.430634875,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,093255,SNDK,Stream 2,LONG,19.0,1747.0,1764.0,323.0,-1.267635575625,321.732364424375,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,093435,SNDK,Stream 2,LONG,1.0,1747.0,1783.34,36.33999999999992,-0.08857639149999999,36.25142360849992,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,093435,SNDK,Stream 2,LONG,9.0,1775.0,1783.34,75.05999999999926,-0.7322430473999999,74.32775695259926,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,093435,SNDK,Stream 2,LONG,10.0,1775.0,1783.34,83.39999999999918,-0.535506665,82.86449333499918,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,093552,SNDK,Stream 2,LONG,1.0,1775.0,1790.69,15.690000000000055,-0.4039593265,15.286040673500054,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,093552,SNDK,Stream 2,LONG,9.0,1786.67,1790.69,36.179999999999836,-0.48331868850000004,35.69668131149984,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,093826,SNDK,Stream 2,LONG,10.0,1786.67,1808.0,213.29999999999927,-0.877843875,212.42215612499928,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,094243,SNDK,Stream 2,LONG,1.0,1786.67,1802.0,15.329999999999927,-0.08766078750000002,15.242339212499926,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,094243,SNDK,Stream 2,LONG,9.0,1800.0,1802.0,18.0,-0.8824424175000001,17.117557582499998,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,102300,SNDK,Stream 2,LONG,1.0,1800.0,1794.0,-6.0,-0.0874959875,-6.0874959875,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,102300,SNDK,Stream 2,LONG,16.0,1791.99,1794.0,32.159999999999854,-1.1677276399999998,30.992272359999856,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,102300,SNDK,Stream 2,LONG,3.0,1791.99,1794.0,6.029999999999973,-0.03114233962499999,5.998857660374973,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,103559,ASTC,Stream 2,LONG,100.0,47.15,45.0,-214.99999999999986,-0.5933145,-215.59331449999985,STK,CLOSED,LONG matched via FIFO (opened 2026-06-03)
2026-06-04,105101,SNDK,Stream 2,LONG,1.0,1791.99,1781.38,-10.6099999999999,-0.387554678,-10.9975546779999,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,105101,SNDK,Stream 2,LONG,7.0,1778.0,1781.38,23.660000000000764,-0.37457203349999996,23.285427966500762,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,105101,SNDK,Stream 2,LONG,2.0,1778.0,1781.05,6.099999999999909,-0.10700698500000001,5.992993014999909,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,110327,SNDK,Stream 1,LONG,7.0,1778.0,1782.0,28.0,-0.7158186875,27.2841813125,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,110327,SNDK,Stream 1,LONG,3.0,1778.0,1782.0,12.0,-0.15666918750000003,11.8433308125,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,111001,SNDK,Stream 1,LONG,1.0,1778.0,1795.37,17.36999999999989,-0.14136279699999998,17.22863720299989,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,111001,SNDK,Stream 1,LONG,3.0,1793.0,1795.37,7.109999999999673,-0.42794985262499996,6.682050147374673,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,111001,SNDK,Stream 1,LONG,4.0,1793.0,1795.37,9.479999999999563,-0.345289488,9.134710511999563,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
2026-06-04,111001,SNDK,Stream 1,LONG,12.0,1793.0,1795.37,28.43999999999869,-0.32327959799999995,28.11672040199869,STK,CLOSED,LONG matched via FIFO (opened 2026-06-04)
